флаги : -O0 -ansi -pedantic
с шагом 1 : 0.520000 секунд
с шагом 4 : 0.560000 секунд
с шагом 50 : 2.330000 секунд
с шагом 17 : 1.140000 секунд
с шагом 192 : 2.180000 секунд
с шагом 1001 : 2.880000 секунд
с шагом 2000 : 2.950000 секунд
с шагом 2020 : 3.020000 секунд
с шагом 2030 : 3.090000 секунд
в случайном порядке : 4.330000 секунд
флаги : -O1 -ansi -pedantic
с шагом 1 : 0.000000 секунд
с шагом 4 : 0.000000 секунд
с шагом 50 : 0.000000 секунд
с шагом 17 : 0.000000 секунд
с шагом 192 : 0.000000 секунд
с шагом 1001 : 0.000000 секунд
с шагом 2000 : 0.000000 секунд
с шагом 2020 : 0.000000 секунд
с шагом 2030 : 0.000000 секунд
в случайном порядке : 0.000000 секунд
флаги : -O2 -ansi -pedantic
с шагом 1 : 0.000000 секунд
с шагом 4 : 0.000000 секунд
с шагом 50 : 0.000000 секунд
с шагом 17 : 0.000000 секунд
с шагом 192 : 0.000000 секунд
с шагом 1001 : 0.000000 секунд
с шагом 2000 : 0.000000 секунд
с шагом 2020 : 0.000000 секунд
с шагом 2030 : 0.000000 секунд
в случайном порядке : 0.000000 секунд
флаги : -O3 -ansi -pedantic
с шагом 1 : 0.000000 секунд
с шагом 4 : 0.000000 секунд
с шагом 50 : 0.000000 секунд
с шагом 17 : 0.000000 секунд
с шагом 192 : 0.000000 секунд
с шагом 1001 : 0.000000 секунд
с шагом 2000 : 0.000000 секунд
с шагом 2020 : 0.000000 секунд
с шагом 2030 : 0.000000 секунд
в случайном порядке : 0.000000 секунд
флаги : -g -ansi -pedantic
с шагом 1 : 0.500000 секунд
с шагом 4 : 0.550000 секунд
с шагом 50 : 2.300000 секунд
с шагом 17 : 1.140000 секунд
с шагом 192 : 2.170000 секунд
с шагом 1001 : 2.900000 секунд
с шагом 2000 : 2.920000 секунд
с шагом 2020 : 3.000000 секунд
с шагом 2030 : 3.020000 секунд
в случайном порядке : 4.090000 секунд
